Full Address,Latitude,Longitude,Transaction Type,Sold Price,Sold Date,Property Type,PhotoURL
"8661 E Snodgrass Road, OH 45317",40.169904,-84.032132,Seller/Listing,"320,000",02/16/2023,Residential
"220 Windsor Street, Marion, OH 43302",40.585312,-83.134927,Seller/Listing,"115,000",02/17/2023,Residential
"3070 Baker Hill Road, Columbus, OH 43207",39.903251,-82.964166,Buyer,"155,000",02/17/2023,Residential
"2836 Devonshire Drive, OH 43015",40.238898,-82.992029,Seller/Listing,"436,000",02/21/2023,Residential
"3433 Jessica Lane S, OH 43065",40.224574,-83.105716,Seller/Listing,"484,680",02/22/2023,Residential
"1690 Co Rd 170, OH 43334",40.414204,-82.787586,Buyer,"515,000",02/22/2023,Residential
"6326 Wagtail Road #6, Columbus, OH 43230",40.055866,-82.850053,Seller/Listing,"285,000",02/28/2023,Residential
"1656 S 6th Street, Columbus, OH 43207",39.928875,-82.990563,Seller/Listing,"337,500",03/07/2023,Residential
"1540 Genessee Avenue, Columbus, OH 43211",40.018933,-82.969547,Buyer,"263,000",03/27/2023,Residential
"283 E Royal Forest Boulevard, Columbus, OH 43214",40.060305,-83.011826,Buyer,"350,000",04/04/2023,Residential
"5725 Zinnia Road Lot 81, Columbus, OH 43081",40.096526,-82.863279,Buyer,"473,900",04/14/2023,Residential
"132 Millfield Avenue, Westerville, OH 43081",40.127418,-82.955181,Buyer,"400,000",05/01/2023,Residential
"1371 Norma Road, Columbus, OH 43229",40.068713,-82.981492,Buyer,"240,000",05/03/2023,Residential
"210 Linden Avenue, Newark, OH 43055",40.057119,-82.428625,Buyer,"198,900",05/05/2023,Residential
"8264 Big Horn Court, Columbus, OH 43065",40.126015,-83.066247,Seller/Listing,"394,350",05/05/2023,Residential
"3861 Sandstone Circle, OH 43065",40.152017,-83.089657,Buyer,"305,000",05/10/2023,Residential
"1510 Francisco Road, Columbus, OH 43220",40.058787,-83.059583,Seller/Listing,"407,000",05/12/2023,Residential
"9663 Arrowwood Drive, OH 43064",40.166071,-83.181930,Buyer,"749,453",05/16/2023,Residential
"4944 Hilliard Oaks Court, Columbus, OH 43026",40.006020,-83.139901,Buyer,"355,000",05/18/2023,Residential
"6168 Ryan Woods Way, Hilliard, OH 43026",40.048391,-83.184545,Buyer,"570,000",05/19/2023,Residential
"881 Mike Court, Westerville, OH 43081",40.128817,-82.900286,Seller/Listing,"415,000",05/22/2023,Residential
"771 Grandon Avenue, Bexley, OH 43209",39.954145,-82.926540,Buyer,"367,000",05/23/2023,Residential
"3963 Snowshoe Avenue, Columbus, OH 43123",39.902477,-83.102534,Seller/Listing,"325,000",05/30/2023,Residential
